Date,Store ID,Product ID,Category,Region,Inventory Level,Units Sold,Units Ordered,Demand Forecast,Price,Discount,Weather Condition,Holiday/Promotion,Competitor Pricing,Seasonality
2026-03-13,S001,P0001,Snacks,Northeast,13,11,0,10,5.03,0,Sunny,0,4.0,Spring
2026-03-13,S001,P0002,Snacks,Northeast,1484,49,0,47,4.78,0.15,Cloudy,0,5.32,Spring
2026-03-13,S001,P0003,Beverages,Northeast,165,1,0,1,2.45,0.15,Cloudy,0,2.18,Spring
2026-03-13,S001,P0004,Beverages,Northeast,24,2,0,2,2.44,0.1,Sunny,0,2.2,Spring
2026-03-13,S001,P0005,Dairy,Northeast,1535,33,0,32,3.97,0,Windy,0,4.63,Spring
2026-03-13,S001,P0006,Dairy,Northeast,668,48,0,44,4.06,0.1,Cloudy,1,4.71,Spring
2026-03-13,S001,P0007,Beverages,Northeast,796,10,0,10,2.4,0,Rainy,0,2.6,Spring
2026-03-13,S001,P0008,Frozen Foods,Northeast,1072,7,283,7,7.04,0.15,Snowy,0,6.27,Spring
2026-03-13,S001,P0009,Personal Care,Northeast,15,32,0,34,8.25,0.2,Windy,0,8.68,Spring
2026-03-13,S001,P0010,Snacks,Northeast,1310,9,112,8,4.97,0.1,Windy,0,5.89,Spring
2026-03-13,S001,P0011,Household,Northeast,2160,41,363,45,13.05,0,Snowy,0,14.3,Spring
2026-03-13,S001,P0012,Household,Northeast,1733,6,191,6,12.7,0,Cloudy,0,12.14,Spring
2026-03-13,S001,P0013,Bakery,Northeast,14,6,0,5,3.45,0,Rainy,1,3.36,Spring
2026-03-13,S001,P0014,Bakery,Northeast,1027,31,0,28,3.46,0.2,Windy,0,2.82,Spring
2026-03-13,S001,P0015,Produce,Northeast,872,43,344,42,3.12,0,Snowy,0,3.53,Spring
2026-03-13,S001,P0016,Produce,Northeast,450,23,0,22,2.92,0.05,Sunny,0,3.19,Spring
2026-03-13,S001,P0017,Meat,Northeast,17,17,0,18,10.41,0.1,Windy,1,9.57,Spring
2026-03-13,S001,P0018,Meat,Northeast,1825,38,0,39,9.63,0.05,Rainy,1,9.51,Spring
2026-03-13,S001,P0019,Canned Goods,Northeast,6,26,0,28,1.97,0.2,Snowy,0,1.66,Spring
2026-03-13,S001,P0020,Canned Goods,Northeast,11,13,0,14,1.96,0.15,Sunny,0,2.11,Spring
2026-03-13,S002,P0001,Snacks,Southeast,20,23,0,25,5.05,0,Rainy,0,4.22,Spring
2026-03-13,S002,P0002,Snacks,Southeast,9,18,0,19,4.82,0.1,Sunny,0,4.32,Spring
2026-03-13,S002,P0003,Beverages,Southeast,1629,22,0,24,2.51,0.05,Snowy,0,2.19,Spring
2026-03-13,S002,P0004,Beverages,Southeast,549,8,0,7,2.56,0.2,Windy,0,2.79,Spring
2026-03-13,S002,P0005,Dairy,Southeast,5,42,0,42,4.05,0,Windy,0,3.21,Spring
2026-03-13,S002,P0006,Dairy,Southeast,1722,29,0,28,3.94,0.2,Snowy,0,3.89,Spring
2026-03-13,S002,P0007,Beverages,Southeast,16,34,0,35,2.59,0.2,Snowy,0,2.81,Spring
2026-03-13,S002,P0008,Frozen Foods,Southeast,21,43,0,47,6.7,0.05,Rainy,0,7.19,Spring
2026-03-13,S002,P0009,Personal Care,Southeast,1198,40,0,39,8.34,0.05,Rainy,0,7.67,Spring
2026-03-13,S002,P0010,Snacks,Southeast,18,6,0,6,5.0,0,Sunny,0,4.8,Spring
2026-03-13,S002,P0011,Household,Southeast,2065,35,173,36,12.98,0.2,Sunny,1,11.54,Spring
2026-03-13,S002,P0012,Household,Southeast,1139,7,0,6,13.03,0.05,Windy,0,14.04,Spring
2026-03-13,S002,P0013,Bakery,Southeast,1139,22,0,19,3.38,0,Windy,0,3.76,Spring
2026-03-13,S002,P0014,Bakery,Southeast,858,17,428,15,3.52,0.2,Windy,0,4.16,Spring
2026-03-13,S002,P0015,Produce,Southeast,1100,2,0,1,2.93,0.15,Windy,1,2.45,Spring
2026-03-13,S002,P0016,Produce,Southeast,1803,20,0,20,3.07,0,Sunny,0,2.95,Spring
2026-03-13,S002,P0017,Meat,Southeast,23,4,0,3,10.35,0,Sunny,0,8.29,Spring
2026-03-13,S002,P0018,Meat,Southeast,1657,28,0,25,10.05,0,Sunny,0,8.47,Spring
2026-03-13,S002,P0019,Canned Goods,Southeast,19,32,0,34,1.97,0.05,Cloudy,0,2.38,Spring
2026-03-13,S002,P0020,Canned Goods,Southeast,1342,16,0,16,2.04,0.2,Rainy,0,1.8,Spring
2026-03-13,S003,P0001,Snacks,Midwest,1512,6,0,6,4.82,0.05,Snowy,0,4.93,Spring
2026-03-13,S003,P0002,Snacks,Midwest,1475,16,0,16,4.97,0.15,Rainy,0,5.56,Spring
2026-03-13,S003,P0003,Beverages,Midwest,1024,7,0,6,2.5,0.15,Rainy,0,2.82,Spring
2026-03-13,S003,P0004,Beverages,Midwest,5,15,0,15,2.57,0,Snowy,1,2.68,Spring
2026-03-13,S003,P0005,Dairy,Midwest,303,5,189,4,4.03,0.05,Cloudy,0,3.23,Spring
2026-03-13,S003,P0006,Dairy,Midwest,6,29,0,33,4.06,0,Windy,1,4.4,Spring
2026-03-13,S003,P0007,Beverages,Midwest,1052,30,383,33,2.41,0.1,Snowy,0,2.48,Spring
2026-03-13,S003,P0008,Frozen Foods,Midwest,1809,24,228,22,7.11,0.2,Rainy,0,7.53,Spring
2026-03-13,S003,P0009,Personal Care,Midwest,1706,17,0,16,8.33,0,Sunny,0,8.16,Spring
2026-03-13,S003,P0010,Snacks,Midwest,76,21,50,20,4.83,0,Windy,0,5.24,Spring
2026-03-13,S003,P0011,Household,Midwest,1868,42,0,42,13.55,0.05,Snowy,1,15.45,Spring
2026-03-13,S003,P0012,Household,Midwest,28,18,0,16,12.36,0.05,Sunny,0,14.76,Spring
2026-03-13,S003,P0013,Bakery,Midwest,22,13,0,12,3.57,0.1,Cloudy,0,3.47,Spring
2026-03-13,S003,P0014,Bakery,Midwest,19,12,0,11,3.64,0.1,Rainy,0,3.18,Spring
2026-03-13,S003,P0015,Produce,Midwest,1852,33,0,37,2.99,0.2,Sunny,0,2.75,Spring
2026-03-13,S003,P0016,Produce,Midwest,1593,42,387,46,2.97,0.05,Cloudy,0,3.3,Spring
2026-03-13,S003,P0017,Meat,Midwest,1838,10,0,11,9.73,0.05,Rainy,0,9.63,Spring
2026-03-13,S003,P0018,Meat,Midwest,828,32,292,30,10.15,0.2,Rainy,0,8.14,Spring
2026-03-13,S003,P0019,Canned Goods,Midwest,17,1,0,1,2.06,0.05,Sunny,0,1.96,Spring
2026-03-13,S003,P0020,Canned Goods,Midwest,1707,26,0,22,2.05,0,Cloudy,0,1.91,Spring
2026-03-13,S004,P0001,Snacks,West,1814,21,218,23,5.05,0.2,Snowy,0,4.06,Spring
